,Quote,Author
8485,You are a whole lot better today than yesterday,Debasish Mridha
8486,The principle virtue of anyone who made an important invention is curious persistence,Debasish Mridha
8487,"If I dream under a moonlit night, should it vanish with the brightness of the morning sun?",Debasish Mridha
8488,First Day at Harvard [10w] Smartest kid in the roomwalks into room of competitors,Beryl Dov
8489,Mythbusters [10w] Snipers will assure you safety in numbers is a myth,Beryl Dov
8490,Charity [10w] Contentment over your life is the best aphrodisiac for charity,Beryl Dov
8491,Let Others Speak [10w] When others speak of your virtues they grow tenfold,Beryl Dov
8492,Retail [10w] The first and last sale of the day are best,Beryl Dov
8493,Thorn [5w] Every thorn has its rose,Beryl Dov
8494,Catalyst [10w] You're not lying if your lie helps engender the truth,Beryl Dov
8495,"Who, Me? We marry nearly the same person over and over again,hoping next time they'll get it right",Beryl Dov
8496,Bespeckled Heroes [10w] Great heroes in 100 years become statues speckled with birdshit,Beryl Dov
8497,Love Undeniable [10w] A lover may deny anything to their lover but love,Beryl Dov
8498,Poets Job Description [10w] Poets console the soul with words and eyes with images,Beryl Dov
8499,Love's War [10w] In love's war there aren't winners and losers ~just casualties,Beryl Dov
8500,Too Much Information You must empty your mind of garbage to let new garbage in,Beryl Dov
8501,Death [10w] What the the dying most resent is life goes on,Beryl Dov
8502,Love vs. Control [10w] A lover you can control is not worthy of having,Beryl Dov
8503,Power is not found in muscles; power is found in the mind,Debasish Mridha
8504,Hope is the boat we ride to reach the shore of our desires,Debasish Mridha
8505,Love is the most potent drug used to seduce anyone,Debasish Mridha
8506,Trust the perception not the presentation,Debasish Mridha
8507,Life is nothing but a few ecstatic dancing atoms,Debasish Mridha
8508,Hope opens the door of opportunity and shines the way to possibilities,Debasish Mridha
8509,The secret to living is loving,Debasish Mridha
8510,Treat life as if it is the best gift from the universe,Debasish Mridha
8511,Hello! Look at me! I am your reflection,Debasish Mridha
8512,We cannot measure time. We can only measure changes of life and the universe,Debasish Mridha
8513,Never forget the prime purpose of your life,Debasish Mridha
8514,Negative actions cannot create a positive life,Debasish Mridha
8515,Only positive thoughts can inspire you to positive actions,Debasish Mridha
8516,Choose to be in love!,Debasish Mridha
8517,"For success, choice is more important than action",Debasish Mridha
8518,"At the end of our lives, nothing remains except memories",Debasish Mridha
8519,Just enjoy the music of life,Debasish Mridha
8520,Forgiveness is the best tonic for heart,Debasish Mridha
8521,Your smile shines like the morning sun,Debasish Mridha
8522,"Like the sun, start each day with a smile",Debasish Mridha
8523,Excellence is not an event but a habit,Debasish Mridha
8524,Seek opportunities to help and you will be a success,Debasish Mridha
8525,I hope for happiness for you,Debasish Mridha
8526,Life is not about success; life is about a journey toward happiness,Debasish Mridha
8527,A sign of gratitude is a thankful smile,Debasish Mridha
8528,"When kindness is your religion, then caring is your prayer",Debasish Mridha
8529,Opportunities Come a Knockin' [10w] Never miss the opportunity to fuck or write poetry,Beryl Dov
8530,Heartbreak [10w] Heartbreak’s like a heart attack but without the hospital bills,Beryl Dov
8531,"Humble Wishes [10w] ""God, all I simply ask is that I become perfect",Beryl Dov
8532,"Indiscernible Love [10w] True love's so effortless, others can hardly see it's happening",Beryl Dov
8533,Who Isn't [10w] Psychotherapy's powerless once you assume you're smarter than the therapist,Beryl Dov
8534,Animal Species Identity [10w] Funny how animals know their own species without a mirror,Beryl Dov
8535,Love on Fire [10w] A man in love cannot see fire or smell smoke,Beryl Dov
8536,Time Traveler's Ennui The future ain't what it use to be,Beryl Dov
8537,"Rat Trap Haiku 'Hmm, 12 by 13,4 by 9. Oy! You call thisrat trap an apartment?",Beryl Dov
8538,Double-Dipping [10w] Double-dip in righteousness and delight in the here and herafter,Beryl Dov
8539,2D or Not 2D [10w] The best thing about a two-dimensional world is nobody's fat,Beryl Dov
8540,"Err [10w] My dear, ""To err is human — to forgive, to redefine",Beryl Dov
8541,"Switch Hitter [10w] Aphorisms are penned in my left brain,poetry, my right",Beryl Dov
8542,Obscure Poetry Obscurity does not make a poem better or deeper.It simply makes it obscure,Beryl Dov
8543,"Yams vs. Sweet Potatoes vs. Cassava vs. Popeye [10w] ""I am that I am that I am a yam",Beryl Dov
8544,Angels vs. Fools [10w] Au contraire: Angels rush in where fools fear to tread,Beryl Dov
8545,Virtual Friends [10w] Internet camaraderie's bullshit because these 'friends' can't be relied upon,Beryl Dov
8546,Stampede [10w] Her stampede of wild emotions broke down everything once stable,Beryl Dov
8547,Poetry and Dogs [10w] Poetry and dogs make the best companions.Don't trust dogs,Beryl Dov
8548,"California Haiku ""After my boob jobI'm taking acting lessons.Fuck's fifty, no anal",Beryl Dov
8549,Evil [10w] Believing you're evil sets into motion the wheels of self-destruction,Beryl Dov
8550,"The Wonder of Wandering [10w] When you wander without destination,the world becomes your teacher",Beryl Dov
8551,If I Were God [10w] If I were God I'd sell my shit on Ebay,Beryl Dov
8552,Iran [10w] In Teheran daylight dawnswith minarets against skies of bronze,Beryl Dov
8553,"❞ [10w] ""Let's cuddle like a quotation mark filling a blank page",Beryl Dov
8554,"Jew in a Canoe Haiku Jew in a canoe,whitewater rushes, the canoe tips.The Jew doesn't",Beryl Dov
8555,Evil Thoughts [10w] Believing 'You're either with us or against us' is evil,Beryl Dov
8556,"Library [10w] Hopefully, the library in the afterlife doesn't contain contemporary poetry",Beryl Dov
8557,"again!""=""""Perfect happiness is when your child giggles and yells,""Again!",Beryl Dov
8558,Occam's Razor [10w] I shaved with Occam's razor and he shaved with mine,Beryl Dov
8559,Fate [10w] The eternal point where our dreams intersect is called fate,Beryl Dov
8560,Mingling Defined [10w] Superficial people engaging with superficial people on a superficial level,Beryl Dov
8561,Busch Beer: Head for the mountains... [10w] ...and fall off the precipice shitfaced,Beryl Dov
8562,Confucius vs. Confusion [10w] Confucius says if pussy smell like fish change the bait,Beryl Dov
8563,"What Children See [10w] ""A spider is an octopus who lives in the desert",Beryl Dov
8564,"Dogs [10w] Dogs never lie about love,but occasionally fake an orgasm",Beryl Dov
8565,Entrepreneurs [10w] A man should be judged by the companyhe sells,Beryl Dov
8566,Poetry Calling [10w] Poetry's not a calling.It's a whispering in your ear,Beryl Dov
8567,I [10w] 'I' is a wellspring in the desertoverflowing with life,Beryl Dov
8568,test post please ignore .Gotcha!,Beryl Dov
8569,Hate [10w] Love cannot hate eradicate ~only a more ruthless hate can,Beryl Dov
8570,Explosive Heart [10w] + {Couplet} A heart that's been playedcan become a hand grenade,Beryl Dov
8571,Shit Poetry [10w] Poetry without grace of expression is just so much shit,Beryl Dov
8572,Teenagers [10w] Teenagers are the lone survivors of a ruthless hormonal holocaust,Beryl Dov
8573,"The Machismo Motto [10w] ""When we are not hard as nails we get screwed",Beryl Dov
8574,Ars Poetica: Dovetailing Collage [10w] Poems should be a dovetailing collage not a linear cohesion,Beryl Dov
8575,Imitation [10w] Art imitates life.Life imitates art.I just imitate imitation,Beryl Dov
8576,Promising vs. Promises A promising life comes from a childhood without broken promises,Beryl Dov
8577,No love is perfect; it is beautiful even when it is imperfect,Debasish Mridha
8578,"Happiness is not something you pursue, it is a state of mind and a feeling of positivity, within",Amitav Chowdhury
8579,Your success should create a path that inspires others to follow,Amitav Chowdhury
8580,An enlightened life can be so powerful that it can illuminate the whole world,Debasish Mridha
8581,The most powerful force that can transform an enemy into a friend is simple kindness,Debasish Mridha
8582,A single moment of life has more miracles and worth than to live a whole life,Debasish Mridha
8583,Life is nothing but a clump of mud; your thoughts define which statue you can mold out of it,Debasish Mridha
8584,Always expect that something beautiful and wonderful will happen to fill life with beauty,Debasish Mridha
8585,"If you know the brightness of your heart, you will never fear darkness",Debasish Mridha
8586,Let the sunrise of every morning bring you the light of love and joy,Debasish Mridha
8587,Paint your life with the colors of kindness so that you may find the true bliss of happiness,Debasish Mridha
8588,"You are not a human being living your life, but you are a spiritual being longing for life",Debasish Mridha
8589,First Things First [10w] God created the possibility of absurditybefore he created man,Beryl Dov
8590,Heart My heart jumps every time you walk through the door.It's not love.I have an arrhythmia,Beryl Dov
8591,Gone to the Dogs [10w] All ideals corrupt into ideology to sustain the social order,Beryl Dov
8592,What One Vulture Said to the Other I have a bone to pick with you ~which end shall we start on?,Beryl Dov
8593,Old People [10w] At the mere mention of death they gasp for breath,Beryl Dov
8594,"Iowa Haiku ""We're not really dull,we are just misunderstood.Weed helps dull the pain",Beryl Dov
8595,Spooning [10w] Love means tasting her spaghetti sauce on a wooden spoon,Beryl Dov
8596,Pushkin When Pushkin came to Shovekin all hell broke loose,Beryl Dov
8597,Home Never give up a home for a house;you may never find a home again,Beryl Dov
8598,Compassion [10w] Compassion is the combination to enter the vault of heaven,Beryl Dov
8599,Selfies [10w] Selfies allows you instant gratification and reminiscence all at once,Beryl Dov
8600,"When in Doubt [10w] If your relationship becomes stagnant,set fire to her dress",Beryl Dov
8601,Pussy [10w] Her pussy was heaven's gate and the backdoor of hell,Beryl Dov
8602,Eye of God [10w] The Hubble-Universe is a microchip in the Eye of God,Beryl Dov
8603,"GPS for Sin ""You've entered the point of no return;Re-cal-cu-la-ting",Beryl Dov
8604,This only is denied to God: the power to undo the past,Agathon
8605,I know how men in exile feed on dreams of hope,Aeschyulus
